name,topic,policy_statement,stance_score,quote
Lindsay de Sausmarez,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",1,"We also need more focus on skilled trades, apprenticeships, digital education, and policies that support our hardworking teachers to thrive."
Lindsay de Sausmarez,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",0,No specific stance or quote found in the text provided.
Lindsay de Sausmarez,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",2,"Guernsey needs to work for people and nature alike. I have always promoted practical policies that promote wellbeing, fairness and a healthier environment."
Lindsay de Sausmarez,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"I believe that good policy comes from bringing people together, listening to a range of views, and making evidence-based decisions with the long term in mind."
Lindsay de Sausmarez,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",2,"Protect Guernsey’s natural environment and biodiversity. Support fairness, inclusion and strong communities. Embed sustainability across government decisions. Sustainability makes sound economic sense, and it also means future generations can prosper. That means thinking long term, adapting to the changing climate, harnessing clean energy, reducing waste and pollution, safeguarding nature and access to green spaces, and building policies that are both socially and environmentally responsible."
Adrian Dilcock,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,The cost of housing here is generally unaffordable. Actual progress must be made during this next term. There are many levers which could be explored – rent control for example which might initially see a contraction of the rental market but could also drive down the cost of and increase the supply of homes for purchase.
Adrian Dilcock,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,We do have excellent healthcare services. One major difficulty is affordability on an individual basis. There are many islanders who through no fault of their own find themselves unable to access primary healthcare or fall off society’s financial cliff edge often in old age. This can have catastrophic results for the physical and mental health of the individuals concerned going forward. Your wealth should not determine your health.
Adrian Dilcock,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",2,I believe that every island child has the right to a high quality standard of education regardless of ability to pay. If improvements are required in the State sector they must be driven forward in the next political term. Our young people represent the island’s future. We cannot afford to let them down.
Adrian Dilcock,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",-1,Food and medical bills should definitely be exempt from any increase in indirect taxation. This is a reality. We have been eating into our financial reserves steadily for years. The next States must resolve this once and for all.
Adrian Dilcock,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",0,"It is self-evident that huge numbers of islanders are struggling to make ends meet, house themselves, keep themselves warm in winter, feed and clothe themselves or even remain in the island. The day to day problems that haunt islanders of all ages are inter-related and need to be viewed holistically. They ultimately make the island an uncompetitive jurisdiction and if unchecked will destroy the local economy as well as placing intolerable strains upon individuals and families."
Adrian Dilcock,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",0,No specific stance or quote related to employment & skills found in the text.
Adrian Dilcock,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",-1,Since 2020 our position has worsened. Effectively we now have one (States owned) airline which lost around £100million in public ownership prior to 2020 plus massive one-off losses during the pandemic. The airline continues to lose money on a grand scale. It also has a recent history of unreliability and is very expensive to fly with.
Adrian Dilcock,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",2,Guernsey relies heavily on charitable organizations for many of our vital services. Both morally and financially the States needs to nurture the third sector. States of Guernsey contributions over the last ten years have remained static at around £5million per annum. There is an urgent need for the new States to review and increase the real term value of the States contribution to put Third Sector organisations on a stable footing going forward.
Adrian Dilcock,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,It is clear that there continues to be general public dissatisfaction with the way that States members interact with and listen to the public between elections. Government should be there to govern however it should also listen to the electorate other than for a few weeks prior to each election. I would support the introduction of a petition law as in Jersey and the UK.
Adrian Dilcock,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",1,"It is self evident that sea levels and the temperature of the planet are rising. It is also clear that whatever we do here on the island will have a miniscule effect worldwide on either of these issues. That’s definitely not to say we should as a community do nothing, but as an island which has significant densely populated low lying areas, including large areas below sea level, we must spend adequate amounts on coastal defences."
David Dorrity,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"The States needs to work quickly with developers to provide affordable housing for our lower earners and young people, or risk seeing them move away. Work must begin swiftly on the Bridge flood defences to enable progress with Leale’s Yard and GHA sites in the area, as failure to build has had a negative impact on the market and helped create the high rate of inflation that affects the rents and mortgage rates we pay."
David Dorrity,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",1,"We have a good healthcare system with excellent treatment available for all at the PEH, but I believe that we need to better fund primary care to better assist those who struggle to afford healthcare. The £12 grant for GP visits needs to be increased to help islanders seek early diagnosis."
David Dorrity,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",1,Our children are the Island’s future and need to be given every encouragement to embrace post-high school education - be that through A levels at the Sixth Form Centre or much needed skills for local industry through vocational studies and apprenticeships at The Guernsey Institute/College of Further Education.
David Dorrity,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"After closely studying the competing proposals, GST-plus seems to be the fairest way that has been suggested to strengthen the island’s future financial position — providing as it does protections for pensioners and lower earners."
David Dorrity,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,Guernsey is struggling with a high cost-of-living and inflation and hampered in its ability to complete vital projects due to financial pressures. To grow our way out of this situation we must optimise provision of support to business so that we are doing everything within our power to attract -and retain- employers who will help us achieve the economic stability we so badly need.
David Dorrity,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",0,No specific stance or quote found in the text provided.
David Dorrity,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",-1,"Guernsey’s connectivity is crucial to islanders, and also to our ability to remain relevant in the business world. The Condor/Brittany Ferries agreement was not without its challenges, but has already boosted our tourism industry with increased visitor numbers. Aurigny staff are hard-working and dedicated, but issues outside of their control have contrived to make the airline expensive and unreliable since the decision to take it under States ownership."
David Dorrity,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",1,"Having lived with my parents on a housing estate, States and social housing and our communal support systems are of great importance to me. There was a lot less money to go around on the island back in the 70s when I was growing up, and I would hardly describe our estate as comfortable, but it served its purpose and was the safety net my family needed during those hard times."
David Dorrity,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"Guernsey must modernise our civil service structures to improve their efficiency, and also review the Island’s appetite to risk to show companies looking to operate here that Guernsey has a dynamic approach to business."
David Dorrity,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",1,"With our abundant natural resources and the largest tidal flows in Europe, Guernsey is perfectly placed to become a world-leading example of how to generate clean, low-cost electricity. I would like to see the island work with specialists in the fields of renewable energies with a view to achieving energy self-sufficiency."
Andrea Dudley-Owen,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,The Housing crisis has not been treated as a crisis and it is critical that islanders can afford to live on Guernsey. I support: the creation of the new dedicated Housing Committee to completely focus and sustain efforts to develop the right amount of mixed housing for the island; the Guernsey Housing Association shared ownership scheme and the release of appropriate States owned land; first time buyer’s entry to the housing market and review of TRP to provide protection for first time buyer new builds for lower/middle income earners seeking to purchase their first property.
Andrea Dudley-Owen,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,Health care is about treating the body and the mind and ensuring our social and physical well being. I support: sustained focus on public health education encouraging healthy lifestyles and promoting social prescribing and the value of physical activity; better access to help and care for those suffering from addiction and mental health issues; our health care workers and place great value on their role in the provision of a health care system that balances prevention and treatment with individual responsibility for good health.
Andrea Dudley-Owen,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",2,"Taking Guernsey’s education from objectively good to excellent requires leaders who are both aspirational and inspirational, along with sustained investment. I have worked tirelessly to enhance the quality of our States education and will carry on doing so if re-elected. Investing in our young people through education produces the greatest returns for our island, offering them the prospect of higher wages, greater self-reliance, and reduced healthcare and criminal justice costs."
Andrea Dudley-Owen,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"Balancing a tax regime which is competitive for business, fair to the community but provides enough money to fund and replenish essential public services is challenging. No one wants to raise taxes, but our current financial situation needs to change. Without action we will not have the money we need to fund future services such as a care model for our older community members and capital projects such as land for housing. I believe: in a fair, resilient tax system, which can pay for the services we rely on and which will also rebuild our the Capital Reserve so that we can invest in Guernsey’s future infrastructure; a cautious approach to debt is wise, ensuring that terms are transparent, with published spending plans and regular updates on payback and return on invested loan capital; there should be no increases in income tax for lower/ medium income earners; in reform for a fairer Social Security system; in greater support and flexibility for families to help with young children."
Andrea Dudley-Owen,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",2,"Businesses of all sizes and sectors contribute to our economy. To achieve sustained economic growth, businesses need support to trade in a healthy environment with the right legal frameworks, the best knowledge and skills and up to date infrastructure. I believe: in continued focus on the diversification of the economy, e.g. higher education opportunities can also attract international students, renewed focus on agriculture and local food production and marine environment research, in support for entrepreneurs and small businesses, creating a vibrant environment for all sizes of company with sustained growth and attractive employee environment; in continuously seeking reduction of red tape and unnecessary bureaucracy; in investment in island attractions and flexibility around tourism accommodation; Investing in and maintaining resilient Sea and Air links."
Andrea Dudley-Owen,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",2,"Taking Guernsey’s education from objectively good to excellent requires leaders who are both aspirational and inspirational, along with sustained investment. I have worked tirelessly to enhance the quality of our States education and will carry on doing so if re-elected. Investing in our young people through education produces the greatest returns for our island, offering them the prospect of higher wages, greater self-reliance, and reduced healthcare and criminal justice costs."
Andrea Dudley-Owen,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,Investing in and maintaining resilient Sea and Air links.
Andrea Dudley-Owen,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",1,Health care is about treating the body and the mind and ensuring our social and physical well being. I support: sustained focus on public health education encouraging healthy lifestyles and promoting social prescribing and the value of physical activity; better access to help and care for those suffering from addiction and mental health issues; our health care workers and place great value on their role in the provision of a health care system that balances prevention and treatment with individual responsibility for good health.
Andrea Dudley-Owen,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"I have demonstrated my competence and capability as a representative for our island. I listen to and lead on what our community believes to be important. My personal qualities: Vision - I have a clear view of where to go and how to get there. Integrity - I am honest, committed and want to be accountable for my decisions. Resilience - I recover quickly from setbacks, moving forward, adapting to the situation. Collaborative - I take a balanced approach and work with others. Empathy - I seek out and understand different opinions, which helps inform my views. Humility - I am aware of my weaknesses and strengths, always seeking to improve."
Andrea Dudley-Owen,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",1,The States must take more decisive action to ensure that we reduce damage to our natural environment. I believe: energy infrastructure should support community; businesses and householder initiatives to invest in cleaner and more sustainable energy sources; more action is needed to reduce plastics and other pollutants in our island; in a continued focus on traffic management and enhanced public transport.
Simon Fairclough,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",-1,"One thing that I know that is happening right now, probably as we speak, is that the states are doing something which should have been done much earlier in the term, which is working with developers and builders to understand the obstacles that need to be overcome to convert those sites into housing and getting housing built."
Simon Fairclough,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",-1,"I think that, yes, we have done something, people are being expected to pay more. But the fact is, with the aging demographics, we are going to have to do something more substantial. It isn't going to be popular, but it's something that needs do, needs doing, and I think we need to be braver as an assembly."
Simon Fairclough,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",0,Education was one of the big issues last time around.
Simon Fairclough,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"I was the only States member last Autumn to back all the different tax proposals, to help revitalise our economy. Compromise. Instead, we ended up with an unfunded budget for 2025. A situation that must be addressed immediately."
Simon Fairclough,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,"We must prioritise the island’s economy and housing needs. That is why I was the only States member last Autumn to back all the different tax proposals, to help revitalise our economy."
Simon Fairclough,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",0,No specific stance on employment and skills was found in the text.
Simon Fairclough,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,As a Committee we have worked closely with the island’s taxi industry to improve services for the community and successfully negotiated and transitioned to a new bus contract.
Simon Fairclough,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",-1,"I have taken on constituency work across the island and some of this work I have found the most rewarding as a People’s Deputy – be it helping someone find a home, to working with small communities across the island to make successful representations against certain developments in their neighbourhood."
Simon Fairclough,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"We need a fresh approach to politics. And, more than ever in this next term, an Assembly which can represent the full cross section of society, working together in the island’s best interests."
Simon Fairclough,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",2,"As an active Member of the Committee for Environment & Infrastructure I have helped secure the future for the island’s dairy and quarrying industries. We have successfully developed and received States approval for the island’s future Electricity Strategy and Net Zero Policy, paving the way for more sustainable forms of energy in future, such as offshore wind. Thus securing a brighter and greener future for us all."
Steve Falla,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"A scheme that will allow people to obtain their own affordable homes, be they modular, self-build or renovations. A reset of restrictive rules, even for a limited period, in respect of housing."
Steve Falla,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",1,Health and care needs a smarter approach including a reinvigorated conversation about partnership with Jersey.
Steve Falla,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",1,"Our Education provision must be viewed more holistically, recognising and valuing the contribution of the private colleges and leveraging synergies between them and the High Schools."
Steve Falla,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"I have never voted for GST which is due to commence in July 2027. Whether or not that resolution of the States survives, there is a need for broader tax reform where we are not just increasing the burden on individual Guernsey residents over and again."
Steve Falla,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",2,We must strive for economic growth by encouraging and supporting business. Continue the Guernsey Enterprise Investment Scheme to support early-stage businesses.
Steve Falla,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",1,Work harder on giving people the skills needed to enable business to thrive and contribute.
Steve Falla,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",0,No specific stance mentioned on transport and connectivity.
Steve Falla,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",1,I remain committed to a community that gives all islanders fair access to what they need.
Steve Falla,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"It’s time for a review of our system of government, including the number of deputies and whether Island Wide Voting remains the best way of electing States members."
Steve Falla,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",1,It is positive that we are pursuing the opportunities that a wind farm could bring. To value and maintain the environment and green spaces for the enjoyment and wellbeing of all.
Peter Ferbrache,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"We need to provide people with hope and that starts with housing. There is no easy or quick solution, but we can do things now that will help. We can de-list the Heritage listing in respect of the Castel Hospital and release that for homes. We should purchase sites such as Leale’s Yard if available, put in the required infrastructure, and make it available for local residents to develop their own homes. We should come up with a structure to facilitate affordable loans to young prospective local home owners. We should relax and simplify yet further our planning laws."
Peter Ferbrache,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",1,We need to find a way of funding our long-term health and care needs. We may well need to consider certain types of compulsory insurance.
Peter Ferbrache,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",0,No specific stance on education was mentioned in the candidate's text.
Peter Ferbrache,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"We need to ensure that ‘middle Guernsey’, who seem always to have to shoulder any extra tax charges, are protected and the burden falls as far as possible elsewhere. When we were considering tax reform we wanted to put a tax on the imports via UK and other providers. We were advised we could not do that without a consumption tax of our own. So if one is introduced we could help retailers, if they are operating fully retail premises, by giving them some relief against T.R.P."
Peter Ferbrache,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,"We need to encourage our main industries such as Finance, Tourism and Retail."
Peter Ferbrache,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",0,No specific stance on employment and skills was mentioned in the candidate's text.
Peter Ferbrache,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",0,No specific stance on transport and connectivity was mentioned in the candidate's text.
Peter Ferbrache,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",1,"We facilitate an environment where creativity, productivity and success are allowed and applauded. We allow the elderly who have worked hard to retain their own home."
Peter Ferbrache,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,Firstly we will only be able to achieve even some of the necessary measures needed if we change our structure of Government. We need less Deputies and we need a more purposeful form of Government that can make decisions.
Peter Ferbrache,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",1,We live in a beautiful Island so the Environment needs to be protected. We can do that whilst building the houses we need.
Adrian Gabriel,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"I am committed to continuing with this comprehensive approach to drive sustainable, positive change in Guernsey’s housing market, for all of us."
Adrian Gabriel,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,"I will work to improve our healthcare system by ensuring that it is accessible, efficient, and responsive to the needs of all islanders. This includes investing in mental health services and promoting preventive care, while supporting our healthcare professionals."
Adrian Gabriel,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",0,No specific stance or quote found related to education.
Adrian Gabriel,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",-1,"I generally oppose the introduction of a Goods and Services Tax (GST), as, on its own it will disproportionately affect lower-income households and can stifle economic growth. Instead, I advocate for exploring alternative revenue sources and optimising our existing tax framework to ensure fiscal responsibility and sustainability."
Adrian Gabriel,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,Prioritising and supporting local businesses and the community.
Adrian Gabriel,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",0,No specific stance or quote found related to employment & skills.
Adrian Gabriel,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,"The necessity of improving Guernsey's infrastructure, including transportation and public services, to enhance the quality of life for residents, is essential."
Adrian Gabriel,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",1,"I am committed to fostering an inclusive society where everyone feels valued and respected, regardless of their background."
Adrian Gabriel,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,Effective governance requires practical solutions to real-world problems. I am dedicated to addressing the issues that matter most to our community through evidence-based policies and collaborative decision-making.
Adrian Gabriel,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",2,"I will continue to work hard to protect and enhance our local environment, ensuring that future generations can enjoy and benefit from the same natural beauty we cherish today, while fostering a thriving, accessible community."
Susie Gallienne,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,Affordable housing is truly one of Guernsey’s most pressing challenges. We’ve reached a point where both house prices and rents have climbed so high that many of our young people and those with middle incomes are finding it tough to secure an affordable place to live.
Susie Gallienne,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,"Dr. Nicola Brink has emphasized that preventing disease and promoting good health will be key in managing our island’s health service. With five and a half years of training and a fulfilling career dedicated to promoting good health in the community, I am excited about the opportunity to bring my expertise to the next Health and Social Care committee, should I be elected."
Susie Gallienne,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",1,"Now that the education reorganisation is well underway, I would prioritise the completion of the infrastructure and bring stability for our children."
Susie Gallienne,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",0,No specific stance or quote found in the text provided.
Susie Gallienne,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,"I would encourage any policies that promote economic growth and productivity as this underpins our public services and our quality of life. Central to this would be to encourage economic diversification, particularly in digital services which have little impact on the environment, are easily exported and which give employment for our creative and talented young people."
Susie Gallienne,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",1,"We need them so hospitality we need we need them for retail. We need them for particularly it. I mean, I see we are hamstrung by the fact that we are really a one. Finance industry is our main industry, and we are very dependent on that. What I think going forward, and I'm no expert in this, but AI is, is developing. We it doesn't take much space people can work from home. It's the obvious thing for me to develop."
Susie Gallienne,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,Our supply lines are vital to all of us. We must continue the work already started to ensure our ports and airport are fit for purpose into the future.
Susie Gallienne,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",1,"I have made 21,000 home visits to families and the elderly, proactively supporting health and wellbeing and helping people to access the services they need."
Susie Gallienne,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",0,No specific stance or quote found in the text provided.
Susie Gallienne,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",2,Our environment should not be seen as a separate issue but should be woven into every decision we make. We need to assess the environmental impact of every policy and work towards utilising our natural tide and wind power resources to create clean renewable energy.
Kerensa Gardner,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"Everybody should have a home which is safe and affordable, and we must act together to make sure everybody does. Making sure everyone is properly housed must be a priority for the next States."
Kerensa Gardner,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,"We must finish the hospital build, and we must deal with the lasting effects of Covid on physical and mental health. We need to make sure we have rock solid 24/7 support for mental health crises."
Kerensa Gardner,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",2,Let’s get the new Education Law done following full consultation with parents and teachers and deputies. We need to have better lifelong chances to re-take GCSEs or do functional skills qualifications.
Kerensa Gardner,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",-1,"There may have to be tax raises, because keeping Guernsey from falling down is expensive, but GST is an unfair tax. No taxes should added to food or to fuel."
Kerensa Gardner,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,"We need government working to make more and better paid jobs for people from the island. The States must work together, in the committees, and in meetings, and with business, to make opportunities for Guernsey businesses."
Kerensa Gardner,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",0,No specific stance or quote found in the text provided.
Kerensa Gardner,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",0,No specific stance or quote found in the text provided.
Kerensa Gardner,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",1,"We need to build a Get Happy Get Great Mental Health programme for the island, with more free sports and activities, especially for younger people."
Kerensa Gardner,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"I am for honesty and fairness and cooperation. My policy focuses are education, housing and the economy. We need all parts of the government to work together because each part affects every other."
Kerensa Gardner,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",0,No specific stance or quote found in the text provided.
Sally Gilman,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"Housing solutions should prioritise permanent residents, especially the homeless and young people. Our homeless community needs secure and permanent accommodation now. Let’s make use of some of the sites already owned by the States of Guernsey, instead of selling, we could consider sites like Swissville, Garden Hill and Lukis House for re-development."
Sally Gilman,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,"We need higher standards in Health and Social Care, especially for our most vulnerable. Complaints, bullying, and whistleblowing must be taken seriously, no matter who is involved. Those who speak up should be protected and swift action must follow when things go wrong."
Sally Gilman,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",1,"Our education system needs stability, with teachers remaining throughout the school year."
Sally Gilman,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"We must explore fair and progressive taxation options, without resorting to a Goods and Services Tax. The States must practise good housekeeping: cut waste, manage budgets responsibly, and be fully accountable to the public."
Sally Gilman,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",0,No specific stance on economy and business was found in the candidate's text.
Sally Gilman,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",2,"Employment opportunities must offer liveable wages to the people of Guernsey first. Permanent residents should be first in line for jobs. When skills are lacking, we must offer accessible and affordable training. It’s time to invest in our own people, not just in Health and Social Care, but across every sector."
Sally Gilman,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,Urgent reform is also needed in our travel and tourism systems.
Sally Gilman,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",2,"I care deeply about our island and its people. I believe we need better care for the vulnerable, fair treatment for staff, and protection for whistleblowers. I am passionate about protecting vulnerable people."
Sally Gilman,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"I will fight for greater transparency and full disclosure, because secrecy breeds distrust and the people of Guernsey deserve better."
Sally Gilman,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",0,No specific stance on environment and sustainability was found in the candidate's text.
John Gollop,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",-1,Housing requires more flexible planning. I would support windfall use of some derelict green houses and other used and brown field sites. A lending scheme for genuine first time buyers would help. We need a balanced mix of social housing from extra care to key worker housing and new private sector sites.
